"Trades, transport and equipment operators and related occupations","No minimum level of education required","..","27,035B","27,035B","22,235B","17,055C","19,615B","27,330C","21,600B","25,210C","29,270A","33,090A","33,980B","31,835A","44,365A","43,960A","39,960A","34,685A","44,920A","41,340A","34,200A","35,010A","..","..","40,220A","38,930A","58,735A","70,425A","70,350A","66,465A","84,270A","80,125A","62,535A","53,740A","60,515A","55,620A"
"Trades, transport and equipment operators and related occupations","High school diploma or equivalent","..","21,890B","16,605A","13,970B","14,400B","14,850A","16,165A","16,995B","19,365B","25,430A","26,435B","24,160A","27,325A","31,495A","33,355A","32,290B","28,600A","30,385A","31,100A","24,175A","24,730A","..","..","23,735A","28,450A","36,175A","44,050A","41,410A","41,220A","46,950A","42,830A","37,055A","38,680B","40,405A","35,560A"
"Trades, transport and equipment operators and related occupations","Non-university certificate or diploma","..","19,555A","17,210A","14,600A","12,920B","18,210D","15,170A","16,875D","15,425A","18,060A","23,430A","21,485A","22,940A","26,105A","28,145A","26,210A","24,530A","29,730A","28,700A","25,385A","26,025A","..","..","28,475A","29,930A","36,325A","42,335A","46,795A","51,295A","56,275A","57,140A","50,360A","47,880A","48,410A","48,085A"
"Trades, transport and equipment operators and related occupations","University certificate or diploma below bachelor's level","..","F","F","F","F","F","F","100E","65D","120D","35E","70D","30E","60E","F","F","F","F","45D","F","65D","..","..","30E","F","140E","75E","F","125E","285E","F","F","F","150E","55D"
"Trades, transport and equipment operators and related occupations","Bachelor's degree","..","75D","115E","F","220E","115E","F","F","65D","125D","60C","105D","110C","F","125D","45C","75E","F","115D","180E","100E","..","..","225D","110E","F","75D","75D","155C","265E","120C","215E","190C","210C","250D"
"Trades, transport and equipment operators and related occupations","University certificate, diploma or degree above the bachelor's level","..","F","F","F","F","0","0","F","F","F","F","0","0","F","0","0","F","0","0","0","F","..","..","F","F","F","F","F","0","40E","F","F","F","F","F"
"Natural resources, agriculture and related production occupations","Minimum level of education required, all levels","18,995E","24,660B","15,150B","10,965B","11,590B","19,190B","13,640B","13,045B","14,605B","21,475B","17,375B","16,015B","20,065B","23,965A","20,600B","18,385B","20,065B","23,980A","19,985B","15,185B","16,375B","..","..","16,405B","18,935B","28,060A","23,870A","22,790A","24,045A","30,920A","24,120B","16,180A","17,755A","23,805A","16,070B"
"Natural resources, agriculture and related production occupations","No minimum level of education required","..","18,160B","11,325B","8,300C","8,400C","14,095B","10,610B","9,365B","9,620B","15,240B","13,420B","12,310B","14,695B","16,185B","13,675B","13,380B","13,355B","16,495B","15,050C","11,505B","12,555B","..","..","13,010B","12,960B","20,360B","17,205A","18,150B","17,085B","22,765A","18,635B","11,970B","12,765B","18,295B","12,120B"
"Natural resources, agriculture and related production occupations","High school diploma or equivalent","..","5,560B","3,320C","2,195D","2,740C","4,155C","2,625C","3,235E","4,335C","5,500B","3,535B","3,180B","4,825B","6,930B","5,930B","4,350B","5,705C","6,595B","4,160C","3,230C","3,150B","..","..","2,905C","5,270B","6,550B","4,905B","3,685B","5,460B","6,605B","4,250B","3,035B","3,960B","4,495B","3,130B"
"Natural resources, agriculture and related production occupations","Non-university certificate or diploma","..","860D","485D","410D","380D","765D","360D","405D","640D","680C","365D","455D","530D","780C","940E","625D","855C","805C","700D","375C","645D","..","..","475C","605C","1,080D","1,685C","925C","1,395C","1,480D","1,185C","1,140D","935C","960C","745C"
"Natural resources, agriculture and related production occupations","University certificate or diploma below bachelor's level","..","F","F","F","15E","F","F","F","10D","45D","10D","20E","5D","60E","15D","10E","F","F","F","40E","10D","..","..","10E","F","15D","F","F","F","F","F","20E","F","F","F"
"Natural resources, agriculture and related production occupations","Bachelor's degree","..","F","15D","F","F","F","20E","10E","0","10D","40D","F","5D","15E","35B","20D","F","F","F","30D","15D","..","..","5E","35D","55E","F","30D","65E","35E","35E","10D","40D","25D","50E"
"Natural resources, agriculture and related production occupations","University certificate, diploma or degree above the bachelor's level","..","0","5E","F","F","0","0","F","0","F","F","0","0","0","0","0","0","0","0","5E","F","..","..","F","F","0","0","0","F","5E","0A","0","F","F","0"
"Occupations in manufacturing and utilities","Minimum level of education required, all levels","19,970E","20,695A","18,820A","17,575B","13,910A","18,620A","20,810A","17,860A","20,650A","23,690A","26,400A","24,960A","25,450A","29,970A","30,120A","29,370A","26,415A","30,155A","30,640A","25,655B","24,295A","..","..","32,920A","34,060A","43,095A","53,625A","53,145A","51,830A","53,225A","51,245A","41,475A","33,040A","32,965A","28,900A"
"Occupations in manufacturing and utilities","No minimum level of education required","..","9,390B","9,155B","8,310B","5,320B","9,595B","10,535B","7,400B","9,710B","11,820B","11,910A","11,795B","12,285B","14,780A","14,825A","14,750B","12,825B","16,540B","15,020A","14,600B","12,765B","..","..","17,680A","18,635A","24,640A","31,290A","31,260A","30,200A","32,310A","31,110A","24,265A","18,890A","16,855A","15,355B"
"Occupations in manufacturing and utilities","High school diploma or equivalent","..","8,690B","7,940B","7,335B","7,160B","7,445B","8,485A","8,540B","9,030B","9,735A","11,915A","10,840A","10,295A","12,275A","12,945A","11,550A","10,940A","11,195A","12,045B","8,680B","9,280B","..","..","12,470B","12,980A","15,245A","17,565A","17,105A","16,965A","16,125A","14,475A","13,285B","10,715A","12,035A","10,165A"
"Occupations in manufacturing and utilities","Non-university certificate or diploma","..","2,320C","1,410C","1,615B","1,210B","1,295B","1,525B","1,620B","1,755B","1,780B","2,090B","2,135B","2,480B","2,650B","2,110B","2,785C","2,355B","2,130B","3,255D","1,925B","1,985B","..","..","2,570B","2,205B","2,825B","4,275B","4,310B","4,315B","4,235B","5,130B","3,470B","3,040B","3,660B","3,165B"
"Occupations in manufacturing and utilities","University certificate or diploma below bachelor's level","..","95E","115D","105D","70D","F","110E","160E","65E","F","F","95E","170E","55C","90D","105E","95C","115D","60D","135E","120D","..","..","50D","65E","90C","130D","185D","95D","160E","180D","100E","180D","165D","50C"
"Occupations in manufacturing and utilities","Bachelor's degree","..","200D","180E","200E","140C","185C","150C","145E","90E","235D","195E","95C","220B","205E","155B","175B","195C","175D","255D","305D","135D","..","..","145D","175D","285D","350D","280C","240C","390D","260C","340D","215C","245C","160B"
